blockno	trialno	time	Xmouse	Ymouse	Xcursor	Ycursor	Xtarget	Ytarget	target_angle	rotation	jitter	feedback
1	14	1.7003	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.717	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.7337	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.7504	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.767	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.7837	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.8004	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.817	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.8337	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.8504	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.867	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.8837	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9004	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9171	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9337	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9504	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9671	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	1.9837	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0004	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0171	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0338	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0504	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0671	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.0838	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1004	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1171	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1338	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1504	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1671	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.1838	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2006	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2171	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2338	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2505	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2672	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.2838	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.3005	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.3172	3	-6	3	-6	213.33	369.5	60	0	0	0
1	14	2.3338	3	-6	3	-6	213.33	369.5	60	0	0	0
